model,time,average_precision,ndcg-precision,rec-precision,f1
uPU,60.3633234500885,0.029772321278130745,0.024483018272432808,0.02582094494123942,0.0076520421232975444
nnPU,56.111507177352905,0.029772321278130745,0.024483018272432808,0.02582094494123942,0.0076520421232975444
LR,2.361948013305664,0.037280934044926335,0.05103028908687393,0.05230798583207693,0.05895723819446542
RusBoost,214.5881187915802,0.043001259343850705,0.06101542771999358,0.06044396610778848,0.0
CatBoost,7.5034096240997314,0.06767404385542311,0.11903239698489754,0.09091085192272182,0.003584229390681004
CatBoost_Focal_0.75_1,41.18289351463318,0.07071469692565388,0.13219173407993037,0.09455827069970708,0.009448167340405328
