model,time,average_precision,ndcg-precision,rec-precision,f1
RusBoost,224.5209834575653,0.07030169220192824,0.14414841173355594,0.09748197151380772,0.01828114643643154
LR,4.722013711929321,0.15530483995478125,0.2669291447734496,0.24368426785680442,0.22700452987850914
uPU,121.78879022598267,0.16266000586979937,0.28765034087194136,0.24039537008934495,0.22942930441512321
nnPU,120.97326421737671,0.16266000586979937,0.28765034087194136,0.24039537008934495,0.22942930441512321
CatBoost,14.210179805755615,0.18668376293433564,0.3085511271131438,0.23808223489843192,0.17743746844644714
CatBoost_Focal_0.75_1,70.5532021522522,0.1929820440315343,0.30969965084234435,0.2309440938022618,0.22440728988082206
