model,time,average_precision,ndcg-precision,rec-precision
LR,2.3216707706451416,0.03643178158548103,0.04526219839123535,0.04759453473611222
RusBoost,23.54576587677002,0.0374574971177545,0.05042686224483222,0.048090989118685847
CatBoost,31.523136138916016,0.09130272229301738,0.17411584087093765,0.11973031645506411
