model,time,average_precision,ndcg-precision,rec-precision,f1
uPU,48.60469436645508,0.04668519088676351,0.07280200138130632,0.07095357777079277,0.054209951973497816
nnPU,46.36910533905029,0.04668519088676351,0.07280200138130632,0.07095357777079277,0.054209951973497816
LR,4.1487226486206055,0.05420866420588907,0.08443059844278065,0.07480691193136381,0.08301058565452239
RusBoost,218.72968816757202,0.054301860916804466,0.09735237548015385,0.07762090989264421,0.012810832034847014
CatBoost_Focal_0.75_1,63.65695071220398,0.11004800540232788,0.19857451657372752,0.14565604068859023,0.04849812426901274
CatBoost,14.278875827789307,0.11169542658540073,0.2049563407336267,0.15041893532548792,0.03864223745686692
