CIK,Company,Type,Date,Period of Report,SIC,State of Inc,State,Fiscal Year End,Basename,gvkey,sich,insbnk,understatement,option,Misstatement_BAO,act,ap,at,ceq,che,cogs,csho,dlc,dltis,dltt,dp,ib,invt,ivao,ivst,lct,lt,ni,ppegt,pstk,re,rect,sale,sstk,txp,txt,xint,prcc_f,dch_wc,ch_rsst,dch_rec,dch_inv,soft_assets,ch_cs,ch_cm,ch_roa,issue,bm,dpi,reoa,EBIT,ch_fcf,Misstatement_AA,Misstatement,restatement_year
84839,ROLLINS INC,10-K,2011-02-25,2010-12-31,7340.0,DE,DE,1231.0,84839_2010,9225,7340.0,0.0,0.0,0.0,0,151.021,25.94,619.014,297.97,20.913,583.089,147.181,26.0,0.0,0.0,36.408,90.002,11.899,10.193,0.0,246.441,321.044,90.002,195.553,0.0,122.973,70.433,1136.89,0.255,0.0,53.543,0.437,19.75,0.002351731,,0.012954762,0.002852781,0.846649672,0.055068193,-0.022776244,0.004368735,1.0,0.10250704,1.008192426,0.198659481,0.23259894,,0,0,
849145,Counsel RB Capital Inc.,10-K,2011-03-31,2010-12-31,4822.0,FL,FL,1231.0,849145_2010,15824,6799.0,1.0,0.0,0.0,0,8.859,0.0,16.686,9.442,2.608,2.24,25.96,4.485,0.0,0.0,0.0,4.829,2.594,0.0,0.0,7.238,7.238,4.829,0.0,0.006,-266.458,0.595,3.266,0.0,0.198,-1.318,0.336,0.12,0.135556105,0.222583266,-0.074735987,0.152014976,0.843701307,-0.003227294,5.932651026,0.489211464,0.0,3.030945044,,-15.96895601,0.230552559,0.20781973,0,0,
849213,PLUM CREEK TIMBER CO INC,10-K,2011-02-25,2010-12-31,6798.0,DE,DE,1231.0,849213_2010,15709,2400.0,0.0,0.0,0.0,0,410.0,25.0,4251.0,1374.0,261.0,711.0,161.6,260.0,2358.0,2426.0,96.0,202.0,49.0,10.0,9.0,375.0,2877.0,213.0,3812.0,0.0,40.0,28.0,1190.0,2.0,12.0,1.0,138.0,37.45,-0.013794689,-0.01080584,-0.003908495,0.000459823,0.099976476,-0.067233385,0.113992111,-0.002177532,1.0,0.227035387,1.004899188,0.009409551,0.082804046,0.002988849,0,0,
849502,RAMTRON INTERNATIONAL CORP,10-K,2011-03-09,2010-12-31,3674.0,DE,DE,1231.0,849502_2010,28206,3674.0,0.0,0.0,0.0,0,27.967,5.995,56.832,35.998,9.945,31.818,27.54,3.284,6.0,8.924,2.078,1.585,5.412,0.0,0.0,11.686,20.834,1.585,36.102,0.0,-217.557,10.244,70.204,0.34,0.0,0.931,0.81,3.36,0.015809522,0.021690359,0.043247062,-0.02722751,0.45250915,0.337066047,-0.020276315,0.146897871,1.0,0.389022893,1.372387887,-3.828072213,0.058523367,0.119831594,0,0,
849636,CORTEX PHARMACEUTICALS INC/DE/,10-K,2011-03-18,2010-12-31,2834.0,DE,DE,1231.0,849636_2010,16480,2834.0,0.0,0.0,0.0,0,3.276,0.394,3.567,2.381,3.186,8.18,78.858,0.0,1.5,0.0,0.112,1.629,0.0,0.0,2.148,1.156,1.164,1.629,2.814,0.022,-118.514,0.0,10.474,0.0,0.0,0.0,0.545,0.172,0.532178797,1.459864264,0.0,0.0,0.03672554,,,1.621628498,1.0,0.175543677,1.060369674,-33.22511915,0.550619489,0.52986616,0,0,
849706,ADVANCED ENVIRONMENTAL RECYCLING TECHNOLOGIES INC,10-K,2011-03-31,2010-12-31,2430.0,DE,DE,1231.0,849706_2010,20036,2430.0,0.0,0.0,0.0,0,13.832,11.711,53.487,-14.356,2.521,53.114,50.266,17.699,2.6,23.512,5.808,-5.066,8.169,0.0,0.866,42.585,66.097,-5.066,75.499,1.746,-68.068,2.497,69.819,0.17,0.0,0.0,4.323,0.18,-0.049223765,-0.123177783,-0.048549966,0.025021625,0.282348982,0.074106455,0.105440422,-0.021286595,1.0,-1.586670027,0.83039286,-1.272608297,-0.013891226,0.107498293,0,0,
849869,SILGAN HOLDINGS INC,10-K,2011-02-28,2010-12-31,3411.0,DE,DE,1231.0,849869_2010,64389,3411.0,0.0,0.0,0.0,0,864.495,288.858,2176.018,553.599,175.226,2456.167,69.876,13.949,948.565,890.725,142.949,144.646,438.536,0.0,0.0,424.108,1622.419,144.646,2256.551,0.0,677.897,214.443,3071.545,2.672,0.0,77.034,54.938,35.81,0.031390051,-0.000744812,0.00814054,0.02337934,0.528980918,-0.026582482,-0.053706138,-0.006931498,1.0,0.221239638,0.981681929,0.311530971,0.127121191,-0.005980359,0,0,
850209,FOOT LOCKER INC,10-K,2011-03-28,2011-01-29,5661.0,NY,NY,131.0,850209_2011,11584,5661.0,0.0,0.0,0.0,0,2079.0,240.0,3050.0,2110.0,851.0,3827.0,151.619,0.0,0.0,135.0,110.0,278.0,1069.0,5.0,0.0,548.0,940.0,278.0,1562.0,0.0,1584.0,50.0,5623.0,22.0,3.0,157.0,13.0,26.24,-0.024890683,-0.025227043,-0.012781702,0.003363606,0.580983607,0.131521087,0.088032816,0.034334571,1.0,0.53035296,1.051773836,0.519344262,0.146885246,0.061890347,0,0,
850261,"Sorrento Therapeutics, Inc.",10-K,2011-03-18,2010-12-31,8731.0,DE,DE,1231.0,850261_2010,183602,2836.0,0.0,0.0,0.0,0,5.553,0.182,5.688,5.084,5.278,2.471,250.801,0.0,0.0,0.0,0.023,-1.808,0.0,0.0,0.0,0.604,0.604,-1.808,0.123,0.0,-2.869,0.245,0.682,3.441,0.0,0.0,0.0,0.6,-0.000865614,0.007574118,0.053018827,0.0,0.055028129,,,,1.0,0.033785086,0.205949657,-0.504395218,-0.317862166,-0.194979442,0,0,
850429,TREDEGAR CORP,10-K,2011-03-04,2010-12-31,3350.0,VA,VA,1231.0,850429_2010,15459,3081.0,0.0,0.0,0.0,0,219.261,58.209,580.342,417.546,73.191,571.02,31.883,0.222,0.0,0.228,43.588,27.027,43.058,6.4,0.0,91.66,162.796,27.027,669.29,0.0,406.822,90.719,740.475,0.98,0.0,13.756,1.173,19.38,0.031777437,0.010106908,0.021568543,0.012809562,0.517477625,0.078949553,-0.182869299,0.048182114,1.0,0.67575828,0.848344875,0.701003891,0.072295302,0.038132925,0,0,
850460,ENCORE WIRE CORP,10-K,2011-03-04,2010-12-31,3350.0,DE,DE,1231.0,850460_2010,25572,3357.0,0.0,0.0,0.0,0,342.097,32.897,477.276,407.377,103.252,814.097,23.216,0.0,0.0,0.0,13.716,15.29,42.104,0.0,0.0,58.153,69.899,15.29,284.957,0.0,383.367,190.364,910.222,0.462,2.065,7.129,0.551,25.08,0.063674476,0.276675818,0.107780525,-0.000907263,0.500840185,0.333795757,-0.405842549,0.023412703,1.0,0.699651192,1.056087745,0.78457252,0.048127289,-0.253640419,0,0,
850483,GTSI CORP,10-K,2011-03-11,2010-12-31,5045.0,DE,DE,1231.0,850483_2010,24491,5045.0,0.0,0.0,0.0,0,182.101,50.87,203.844,96.21,4.049,582.522,9.626,35.172,0.0,0.0,3.849,-0.93,13.708,2.185,0.0,104.59,107.634,-0.93,27.801,0.0,43.995,154.891,666.711,0.363,0.254,1.1,0.618,4.71,0.065103812,0.004702777,-0.2221595,0.000938119,0.943579404,-0.029070746,1.541216372,-0.02412518,1.0,2.122039434,0.759736913,0.215826809,0.003865701,-0.030637088,0,0,
850579,PLX TECHNOLOGY INC,10-K,2011-03-04,2010-12-31,3674.0,DE,DE,1213.0,850579_2010,119493,3674.0,0.0,0.0,0.0,0,47.265,8.783,121.971,97.808,16.233,45.002,44.504,6.066,0.0,1.731,8.114,-3.289,13.318,7.346,10.398,22.432,24.163,-3.289,28.326,0.0,-85.327,13.555,116.56,0.223,0.0,0.433,0.117,3.61,0.022389328,0.303634625,0.042603803,0.035826808,0.75332661,0.413154944,0.064918207,0.201226288,1.0,0.608790868,0.923073498,-0.69956793,-0.022456158,-0.153016394,0,0,
